,testId,instanceId,size,isEmpty,peek_obj_type,push,pop,clear,size_p,isEmpty_p,peek_obj_type_p,push_p,pop_p,clear_p,calledMethod,diff
5085,1607950820510:1c0990ec-e6a1-417b-b70f-264d9d76c0c5,1607950820510:b0db2097-785e-4f94-970d-e253bf737377,1,True,class java.lang.String,TRUE,FALSE,FALSE,0,True,EmptyObject,FALSE,FALSE,FALSE,push,Yes
5086,1607950820510:1c0990ec-e6a1-417b-b70f-264d9d76c0c5,1607950820510:b0db2097-785e-4f94-970d-e253bf737377,1,True,class java.lang.String,FALSE,TRUE,FALSE,1,True,class java.lang.String,TRUE,FALSE,FALSE,pop,Yes
5088,1607950820509:ca63b877-b79f-4884-b875-1a7dd3614b1b,1607950820509:c2ca599d-55b2-40b4-a8fd-ee5d0915635c,0,True,EmptyObject,FALSE,FALSE,TRUE,0,True,EmptyObject,FALSE,FALSE,FALSE,clear,No
5089,1607950820509:ca63b877-b79f-4884-b875-1a7dd3614b1b,1607950820509:c2ca599d-55b2-40b4-a8fd-ee5d0915635c,1,True,class java.lang.String,TRUE,FALSE,FALSE,0,True,EmptyObject,FALSE,FALSE,TRUE,push,Yes
5090,1607950820509:ca63b877-b79f-4884-b875-1a7dd3614b1b,1607950820509:c2ca599d-55b2-40b4-a8fd-ee5d0915635c,0,True,EmptyObject,FALSE,FALSE,TRUE,1,True,class java.lang.String,TRUE,FALSE,FALSE,clear,No
5091,1607950820509:ca63b877-b79f-4884-b875-1a7dd3614b1b,1607950820509:c2ca599d-55b2-40b4-a8fd-ee5d0915635c,0,True,EmptyObject,FALSE,FALSE,TRUE,0,True,EmptyObject,FALSE,FALSE,TRUE,clear,No
5092,1607950820509:ca63b877-b79f-4884-b875-1a7dd3614b1b,1607950820509:c2ca599d-55b2-40b4-a8fd-ee5d0915635c,0,True,EmptyObject,FALSE,FALSE,TRUE,0,True,EmptyObject,FALSE,FALSE,TRUE,clear,No
5094,1607950820509:ca63b877-b79f-4884-b875-1a7dd3614b1b,1607950820509:9bec03ed-c649-4382-9a63-a2f445acf9e3,1,True,class java.lang.String,TRUE,FALSE,FALSE,0,True,EmptyObject,FALSE,FALSE,FALSE,push,Yes
5095,1607950820509:ca63b877-b79f-4884-b875-1a7dd3614b1b,1607950820509:9bec03ed-c649-4382-9a63-a2f445acf9e3,1,True,class java.lang.String,FALSE,TRUE,FALSE,1,True,class java.lang.String,TRUE,FALSE,FALSE,pop,Yes
5098,1607950820509:b1ba8cc9-f9a5-4727-bf68-4521a9bb527c,1607950820509:5ceae279-58b2-4dc3-9d9d-3a2d729ed24b,1,True,class java.lang.String,TRUE,FALSE,FALSE,0,True,EmptyObject,FALSE,FALSE,FALSE,push,Yes
