,testId,instanceId,size,isEmpty,peek,peek_obj_type,calledMethod,pushInput,diff,size_p,isEmpty_p,peek_p,peek_obj_type_p,calledMethod_p,pushInput_p
4227,1604913473709:303c798b-1d68-49fd-a6a1-e2c4369b356f,1604913473709:1cef8925-5df8-486c-9797-dd8ac98aa1de,0,True,EmptyObject,EmptyObject,clear,none,No,0,True,EmptyObject,EmptyObject,CTOR,none
4228,1604913473709:303c798b-1d68-49fd-a6a1-e2c4369b356f,1604913473709:1cef8925-5df8-486c-9797-dd8ac98aa1de,0,True,EmptyObject,EmptyObject,push,class java.lang.String,Yes,0,True,EmptyObject,EmptyObject,clear,none
4229,1604913473709:303c798b-1d68-49fd-a6a1-e2c4369b356f,1604913473709:1cef8925-5df8-486c-9797-dd8ac98aa1de,0,True,EmptyObject,EmptyObject,clear,none,No,0,True,EmptyObject,EmptyObject,push,class java.lang.String
4230,1604913473709:303c798b-1d68-49fd-a6a1-e2c4369b356f,1604913473709:1cef8925-5df8-486c-9797-dd8ac98aa1de,0,True,EmptyObject,EmptyObject,clear,none,No,0,True,EmptyObject,EmptyObject,clear,none
4231,1604913473709:303c798b-1d68-49fd-a6a1-e2c4369b356f,1604913473709:1cef8925-5df8-486c-9797-dd8ac98aa1de,0,True,EmptyObject,EmptyObject,clear,none,No,0,True,EmptyObject,EmptyObject,clear,none
4233,1604913473708:85481598-830c-4b06-aa1b-2e00c26b7f1d,1604913473708:ea9a4486-5429-43c0-adb3-d9ac5e05272a,0,True,EmptyObject,EmptyObject,push,class java.lang.String,Yes,0,True,EmptyObject,EmptyObject,CTOR,none
4234,1604913473708:85481598-830c-4b06-aa1b-2e00c26b7f1d,1604913473708:ea9a4486-5429-43c0-adb3-d9ac5e05272a,0,True,EmptyObject,EmptyObject,pop,none,No,0,True,EmptyObject,EmptyObject,push,class java.lang.String
4237,1604913473708:85481598-830c-4b06-aa1b-2e00c26b7f1d,1604913473708:7a59b9e4-63a3-4d9e-8c45-d87583c1458e,0,True,EmptyObject,EmptyObject,push,class java.lang.String,Yes,0,True,EmptyObject,EmptyObject,CTOR,none
4239,1604913473708:3e76b5ba-b5ed-4576-a693-8992947e82a9,1604913473708:e44dc950-a830-429c-b571-cf36621924f7,0,True,EmptyObject,EmptyObject,push,class java.lang.String,Yes,0,True,EmptyObject,EmptyObject,CTOR,none
4240,1604913473708:3e76b5ba-b5ed-4576-a693-8992947e82a9,1604913473708:e44dc950-a830-429c-b571-cf36621924f7,0,True,EmptyObject,EmptyObject,pop,none,No,0,True,EmptyObject,EmptyObject,push,class java.lang.String
4242,1604913473708:3e76b5ba-b5ed-4576-a693-8992947e82a9,1604913473708:e12a9dbc-b1b1-4902-b0ac-74cf04f4ac2f,0,True,EmptyObject,EmptyObject,push,class java.lang.String,Yes,0,True,EmptyObject,EmptyObject,CTOR,none
4243,1604913473708:3e76b5ba-b5ed-4576-a693-8992947e82a9,1604913473708:e12a9dbc-b1b1-4902-b0ac-74cf04f4ac2f,0,True,EmptyObject,EmptyObject,push,class java.lang.String,Yes,0,True,EmptyObject,EmptyObject,push,class java.lang.String
4245,1604913473707:c217c58a-02f4-4f04-a124-7bc5359e4f79,1604913473707:dbe1052c-edbd-4277-9c0e-2f9410d0e0f0,0,True,EmptyObject,EmptyObject,push,class java.lang.String,Yes,0,True,EmptyObject,EmptyObject,CTOR,none
4246,1604913473707:c217c58a-02f4-4f04-a124-7bc5359e4f79,1604913473707:dbe1052c-edbd-4277-9c0e-2f9410d0e0f0,0,True,EmptyObject,EmptyObject,pop,none,No,0,True,EmptyObject,EmptyObject,push,class java.lang.String
4248,1604913473707:98d3de58-4435-4936-bd92-125eb5a6f879,1604913473707:f6262970-e611-41c7-bbba-2b9617a9ea46,0,True,EmptyObject,EmptyObject,push,class java.lang.String,Yes,0,True,EmptyObject,EmptyObject,CTOR,none
