,testId,instanceId,size,isEmpty,peek,peek_obj_type,calledMethod,pushInput,diff,size_p,isEmpty_p,peek_p,peek_obj_type_p,calledMethod_p,pushInput_p
6284,1604915698160:c89764c4-fd7f-4300-bffe-af758ef77b08,1604915698160:0e183ac7-1aaf-4f2d-9c31-5a89ae1269e9,1,True,EmptyObject,class java.lang.String,pop,none,Yes,1,True,EmptyObject,class java.lang.String,push,class java.lang.String
6286,1604915698160:c2369f8c-baeb-4bf7-8a42-4c0ab73525a6,1604915698160:d321403d-dddc-4c43-9fbe-4b73958f3039,1,True,EmptyObject,class java.lang.String,push,class java.lang.String,Yes,0,True,EmptyObject,EmptyObject,CTOR,none
6287,1604915698160:c2369f8c-baeb-4bf7-8a42-4c0ab73525a6,1604915698160:d321403d-dddc-4c43-9fbe-4b73958f3039,1,True,EmptyObject,class java.lang.String,pop,none,Yes,1,True,EmptyObject,class java.lang.String,push,class java.lang.String
6290,1604915698160:c2369f8c-baeb-4bf7-8a42-4c0ab73525a6,1604915698160:2f95fb1d-598c-4f81-8a30-1fedab556e40,1,True,EmptyObject,class java.lang.String,push,class java.lang.String,Yes,0,True,EmptyObject,EmptyObject,CTOR,none
6292,1604915698160:ae67cb6d-8dee-4ea1-b167-9292a8ef0bd7,1604915698160:43a5d149-2624-4059-8aed-53fd66fb4723,1,True,EmptyObject,class java.lang.String,push,class java.lang.String,Yes,0,True,EmptyObject,EmptyObject,CTOR,none
6293,1604915698160:ae67cb6d-8dee-4ea1-b167-9292a8ef0bd7,1604915698160:43a5d149-2624-4059-8aed-53fd66fb4723,1,True,EmptyObject,class java.lang.String,pop,none,Yes,1,True,EmptyObject,class java.lang.String,push,class java.lang.String
6295,1604915698160:ab1655e9-3c19-497f-97d0-3a36614ad7a6,1604915698160:ab09df0b-5a16-47e0-9233-5a669ca7ad57,1,True,EmptyObject,class java.lang.String,push,class java.lang.String,Yes,0,True,EmptyObject,EmptyObject,CTOR,none
6296,1604915698160:ab1655e9-3c19-497f-97d0-3a36614ad7a6,1604915698160:ab09df0b-5a16-47e0-9233-5a669ca7ad57,1,True,EmptyObject,class java.lang.String,pop,none,Yes,1,True,EmptyObject,class java.lang.String,push,class java.lang.String
6298,1604915698160:a816a5e3-f21b-4a8e-941e-3a21257873b3,1604915698160:b6ab179b-58e8-4e5d-a0bf-b116d7b0265b,1,True,EmptyObject,class java.lang.String,push,class java.lang.String,Yes,0,True,EmptyObject,EmptyObject,CTOR,none
6300,1604915698160:a816a5e3-f21b-4a8e-941e-3a21257873b3,1604915698160:623f1df4-99ef-4f4a-bf40-09a76e7f29eb,1,True,EmptyObject,class java.lang.String,push,class java.lang.String,Yes,0,True,EmptyObject,EmptyObject,CTOR,none
6301,1604915698160:a816a5e3-f21b-4a8e-941e-3a21257873b3,1604915698160:623f1df4-99ef-4f4a-bf40-09a76e7f29eb,1,True,EmptyObject,class java.lang.String,pop,none,Yes,1,True,EmptyObject,class java.lang.String,push,class java.lang.String
6304,1604915698160:9db06070-dfa5-4b7e-ba12-03813b30fb41,1604915698160:cd05d0c7-504b-4caf-a295-2797ee6d1b3e,1,True,EmptyObject,class java.lang.String,push,class java.lang.String,Yes,0,True,EmptyObject,EmptyObject,CTOR,none
6305,1604915698160:9db06070-dfa5-4b7e-ba12-03813b30fb41,1604915698160:cd05d0c7-504b-4caf-a295-2797ee6d1b3e,1,True,EmptyObject,class java.lang.String,pop,none,Yes,1,True,EmptyObject,class java.lang.String,push,class java.lang.String
6307,1604915698160:9db06070-dfa5-4b7e-ba12-03813b30fb41,1604915698160:380e62e5-b192-4370-b3c6-3c6c696dac13,1,True,EmptyObject,class java.lang.String,push,class java.lang.String,Yes,0,True,EmptyObject,EmptyObject,CTOR,none
6308,1604915698160:9db06070-dfa5-4b7e-ba12-03813b30fb41,1604915698160:380e62e5-b192-4370-b3c6-3c6c696dac13,2,True,EmptyObject,class java.lang.String,push,class java.lang.String,Yes,1,True,EmptyObject,class java.lang.String,push,class java.lang.String
6310,1604915698160:92a404cf-06b9-4849-aa07-b57f9745e15c,1604915698160:7b22b1c6-05c3-4e88-9166-35a8a957a9da,0,True,EmptyObject,EmptyObject,clear,none,No,0,True,EmptyObject,EmptyObject,CTOR,none
6311,1604915698160:92a404cf-06b9-4849-aa07-b57f9745e15c,1604915698160:7b22b1c6-05c3-4e88-9166-35a8a957a9da,1,True,EmptyObject,class java.lang.String,push,class java.lang.String,Yes,0,True,EmptyObject,EmptyObject,clear,none
6312,1604915698160:92a404cf-06b9-4849-aa07-b57f9745e15c,1604915698160:7b22b1c6-05c3-4e88-9166-35a8a957a9da,0,True,EmptyObject,EmptyObject,clear,none,No,1,True,EmptyObject,class java.lang.String,push,class java.lang.String
6314,1604915698160:92a404cf-06b9-4849-aa07-b57f9745e15c,1604915698160:407d12c1-5e30-4830-a45e-ee2d503958f1,1,True,EmptyObject,class java.lang.String,push,class java.lang.String,Yes,0,True,EmptyObject,EmptyObject,CTOR,none
