,testId,instanceId,size,isEmpty,peek_obj_type,push,pop,clear,size_p,isEmpty_p,peek_obj_type_p,push_p,pop_p,clear_p,diff
4103,1607884514054:c3b6e941-0856-447a-950c-237b5612ddc4,1607884514054:24be531e-6929-40b8-9867-28865c30a39c,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""none""","pop_p == ""none""","clear_p == ""none""",Yes
4106,1607884514054:c01cdd44-85a2-4ed8-9c34-028c2fed3257,1607884514054:5507d277-7dfb-407f-ad3c-e2631ee2c1e9,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""none""","pop_p == ""none""","clear_p == ""none""",Yes
4109,1607884514054:76a4de9f-b19a-4de6-8336-f49e79507014,1607884514054:d085018b-fdff-439a-9287-6367224c09c2,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""none""","pop_p == ""none""","clear_p == ""none""",Yes
4110,1607884514054:76a4de9f-b19a-4de6-8336-f49e79507014,1607884514054:d085018b-fdff-439a-9287-6367224c09c2,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""class java.lang.String""","pop_p == ""none""","clear_p == ""none""",Yes
4112,1607884514054:76a4de9f-b19a-4de6-8336-f49e79507014,1607884514054:46a881e4-8212-4d20-8cd9-d8df33b41454,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""none""","pop_p == ""none""","clear_p == ""none""",Yes
4115,1607884514053:fdcace40-6bfd-4e58-ba08-8959bd4e456a,1607884514053:80fc9fb2-b536-4709-9a41-f7cbef087faa,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""none""","pop_p == ""none""","clear_p == ""none""",Yes
4118,1607884514053:ba3571c2-9cbd-4baf-bb50-90f9a778df94,1607884514053:17cbe181-d899-484d-b8d9-73645f2c974a,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""none""","pop_p == ""none""","clear_p == ""none""",Yes
4122,1607884514053:7e259faf-be25-400d-ad7c-2b57015ca9d3,1607884514053:3f2ca430-0d6d-469f-97ca-a48432e3ce8a,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""none""","pop_p == ""none""","clear_p == ""clear""",Yes
4125,1607884514053:7b2bb294-1971-4c6f-adf2-9b3ecbc50e13,1607884514053:b319d100-a80e-4319-918a-1b39039dbf40,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""none""","pop_p == ""none""","clear_p == ""none""",Yes
4128,1607884514053:7b2bb294-1971-4c6f-adf2-9b3ecbc50e13,1607884514053:7e436bb7-f5e1-4c08-8f13-8411693d86ba,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""none""","pop_p == ""none""","clear_p == ""none""",Yes
