,size,isEmpty,peek_obj_type,push,pop,clear,diff,testId,instanceId
9106,"size == ""7""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Float""","push == ""class java.lang.Float""","pop == ""none""","clear == ""none""",Yes,1607894055282:6961488f-2d6d-4a8a-af38-3797377a8170,1607894055282:c1d2e55a-583a-4c2a-b1cc-37baec12b20c
9426,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Byte""","push == ""none""","pop == ""class java.lang.Byte""","clear == ""none""",Yes,1607894055279:ab62125e-c74e-4e81-9db6-9c198bc64409,1607894055279:fa5c7a96-22e9-4e1c-91d5-a7a66c9bd5c9
9465,"size == ""5""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Double""","push == ""class java.lang.Double""","pop == ""none""","clear == ""none""",Yes,1607894055279:86e92a52-870d-4c4e-9bd7-3fb3ce0db986,1607894055279:dbb12187-a5c4-46f9-9af2-115f93844953
9466,"size == ""5""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Double""","push == ""none""","pop == ""class java.lang.Double""","clear == ""none""",Yes,1607894055279:86e92a52-870d-4c4e-9bd7-3fb3ce0db986,1607894055279:dbb12187-a5c4-46f9-9af2-115f93844953
10272,"size == ""9""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","push == ""none""","pop == ""class experiment.drivers.AlejaStackTestDriver""","clear == ""none""",Yes,1607894055271:9371a5db-4786-4849-8b52-841497fd02e4,1607894055271:115e01f8-beee-4c8a-8a39-9e1421607347
10417,"size == ""11""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","push == ""class experiment.drivers.AlejaStackTestDriver""","pop == ""none""","clear == ""none""",Yes,1607894055268:2219d99b-88e6-4b0f-a6d3-67bbadd6f68d,1607894055268:ad67cd4f-0fcb-4938-975f-4ab92ec7b5f2
11435,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Float""","push == ""class java.lang.Float""","pop == ""none""","clear == ""none""",Yes,1607894055258:1f51d6a8-9adb-4e2e-8aee-a00c8da03b64,1607894055258:66468873-46a5-415d-8e30-ff0b97ed1657
11815,"size == ""10""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Class""","push == ""none""","pop == ""class java.lang.Class""","clear == ""none""",Yes,1607894055254:917ed96d-82f6-4094-8fcb-999f56c7ab94,1607894055254:7b13739a-fa0b-452c-9947-7fec04485ce1
12576,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Integer""","push == ""none""","pop == ""class java.lang.Integer""","clear == ""none""",Yes,1607894055246:d64ffc77-15d6-4f9b-95c0-f7267491a59c,1607894055246:70b3a690-c173-4486-9e1e-d3d6e412c3d9
13445,"size == ""7""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Float""","push == ""none""","pop == ""class java.lang.Float""","clear == ""none""",Yes,1607894055238:f0bdc64c-f531-4a72-b2eb-4ff75379e08b,1607894055238:7cbd1320-5b3e-4baf-961e-056c3f362b3e
13869,"size == ""5""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Object""","push == ""none""","pop == ""class java.lang.Object""","clear == ""none""",Yes,1607894055227:33b74be1-40a9-4fcc-b59c-85123a895d54,1607894055227:5eeae3b9-b0e3-4c8a-a1e7-2bb9a12e451a
15616,"size == ""6""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Long""","push == ""class java.lang.Long""","pop == ""none""","clear == ""none""",Yes,1607894055208:6cf7c9ca-4254-4637-a8c9-5445528853bb,1607894055208:ce7100a1-218e-4f7b-bd57-d65e2ace83b9
20415,"size == ""11""","isEmpty == ""False""","peek_obj_type == ""class java.lang.String""","push == ""none""","pop == ""class java.lang.String""","clear == ""none""",Yes,1607894055157:8b4d5d57-c7ff-4432-bd93-19a81c0eb12d,1607894055157:6b604374-495a-4046-afe6-214cd8ca6eee
20885,"size == ""13""","isEmpty == ""False""","peek_obj_type == ""class java.lang.String""","push == ""none""","pop == ""none""","clear == ""clear""",Yes,1607894055153:01f7eb0d-7378-41ab-a102-8f021f977ca5,1607894055153:3e7cf713-c1aa-4cbc-af83-49e479ffbebd
23414,"size == ""7""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Integer""","push == ""none""","pop == ""class java.lang.Integer""","clear == ""none""",Yes,1607894055128:31d520b0-a71b-449e-bd3a-fbbea873964a,1607894055128:a06dfffc-a7ee-49ec-8e8b-807949e6c40b
24425,"size == ""8""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Double""","push == ""none""","pop == ""class java.lang.Double""","clear == ""none""",Yes,1607894055119:22aa8d3d-271e-45ee-b68c-c40bf52e837e,1607894055119:f61d2683-4a42-4f44-9b0c-610b2427a593
25614,"size == ""9""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Character""","push == ""class java.lang.Character""","pop == ""none""","clear == ""none""",Yes,1607894055104:1fd4e3ff-8e8b-4de9-9f7c-7217dfe87522,1607894055104:d2527176-9509-4de6-9e13-3827a0911175
26095,"size == ""7""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Boolean""","push == ""class java.lang.Boolean""","pop == ""none""","clear == ""none""",Yes,1607894055096:84e2e5f5-6c0e-4425-9435-4ec07cde5b9d,1607894055096:78651ecb-f379-46c3-bcf9-fd60eb505e5a
26112,"size == ""9""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Boolean""","push == ""class java.lang.Boolean""","pop == ""none""","clear == ""none""",Yes,1607894055096:84e2e5f5-6c0e-4425-9435-4ec07cde5b9d,1607894055096:37c5d36f-23a7-4051-abb6-be864f3ab951
26908,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Boolean""","push == ""none""","pop == ""class java.lang.Boolean""","clear == ""none""",Yes,1607894055088:d4151102-b267-4e20-bf27-f678e54d99c7,1607894055088:f6201b18-7801-4194-abcf-24a1a7d3644b
26975,"size == ""9""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Long""","push == ""class java.lang.Long""","pop == ""none""","clear == ""none""",Yes,1607894055087:c70a0571-ad5e-4a44-8b53-726b15ebf4cd,1607894055087:31bbc357-c2bb-430c-af95-8598ebbc2780
29368,"size == ""10""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Integer""","push == ""class java.lang.Integer""","pop == ""none""","clear == ""none""",Yes,1607894055058:0b644c23-753a-446f-b983-808a3ca18cdd,1607894055058:41a4deac-74c3-415f-8c2a-a82fcabe7bc9
30933,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Integer""","push == ""class java.lang.Integer""","pop == ""none""","clear == ""none""",Yes,1607894055029:73d5b1b4-80b0-4336-adc3-a37c1ced75cd,1607894055029:5e0af96e-5e1e-4cfa-8660-3c2ae1851f96
30987,"size == ""8""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Character""","push == ""class java.lang.Character""","pop == ""none""","clear == ""none""",Yes,1607894055028:717ace03-2278-4173-ae08-2bc0dd90f9a5,1607894055028:d02224bd-9cce-401b-b03a-aba24548f6df
30988,"size == ""8""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Character""","push == ""none""","pop == ""class java.lang.Character""","clear == ""none""",Yes,1607894055028:717ace03-2278-4173-ae08-2bc0dd90f9a5,1607894055028:d02224bd-9cce-401b-b03a-aba24548f6df
31227,"size == ""7""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Long""","push == ""none""","pop == ""class java.lang.Long""","clear == ""none""",Yes,1607894055024:9f5f33b6-d479-49d4-bc98-a28bff89ffea,1607894055024:74f2dbce-a108-4b6f-a3a8-c2e8503d354b
36678,"size == ""12""","isEmpty == ""False""","peek_obj_type == ""class java.lang.String""","push == ""none""","pop == ""class java.lang.String""","clear == ""none""",Yes,1607894054954:225fca39-121c-4f67-b0d4-1b75fcf07f33,1607894054955:7a6c05f2-2c2a-4240-81d8-273a2f2460e1
37155,"size == ""10""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","push == ""none""","pop == ""class experiment.drivers.AlejaStackTestDriver""","clear == ""none""",Yes,1607894054949:175ae0c5-a422-4a9c-a7d2-65d7aa87cba5,1607894054949:280a112a-91f8-4f9d-82e7-3477e064b4d3
38516,"size == ""6""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Long""","push == ""none""","pop == ""class java.lang.Long""","clear == ""none""",Yes,1607894054930:7f725072-7009-4530-9bb3-99c2bd53f75a,1607894054930:b6a680c3-1b4d-4a45-938c-629e99fb2dc5
46482,"size == ""6""","isEmpty == ""False""","peek_obj_type == ""class java.lang.String""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""",Yes,1607894054821:81ff9916-976f-495c-873c-03124c7e6df3,1607894054821:6e352ca0-2184-4fe2-a502-1cf9835cd772
48545,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Long""","push == ""none""","pop == ""class java.lang.Long""","clear == ""none""",Yes,1607894054795:7e6d1ea1-eacc-48ef-9ae4-e4f4dff054bc,1607894054795:85b6efc3-c46b-4330-8cbf-dc996c517517
51369,"size == ""1""","isEmpty == ""False""","peek_obj_type == ""class java.lang.String""","push == ""none""","pop == ""class java.lang.String""","clear == ""none""",Yes,1607894054744:0b4c36db-a91b-4263-9f0a-d2ad739b7a5f,1607894054744:43e9d172-e4df-4f20-a2f3-a4df063e2678
53275,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Byte""","push == ""class java.lang.Byte""","pop == ""none""","clear == ""none""",Yes,1607894054706:a0138c43-5276-4fd9-b22a-ebfe7d413b6b,1607894054706:8918aa1c-2585-44f4-8514-f3cabf2b57ff
59609,"size == ""8""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Integer""","push == ""class java.lang.Integer""","pop == ""none""","clear == ""none""",Yes,1607894054556:66ef839e-3b26-483a-9235-2f904a3c7bd3,1607894054556:b630a942-fb09-4e6b-8040-7722cc33ae4d
