,testId,instanceId,size,isEmpty,peek_obj_type,push,pop,clear,size_p,diff
9425,1607900476590:bde060bc-35ec-4d81-a293-a6fcf5bc4a67,1607900476590:9fb79bcb-7595-4a42-bf40-3ec8c65494c6,1,True,class java.lang.String,TRUE,FALSE,FALSE,0,Yes
9426,1607900476590:bde060bc-35ec-4d81-a293-a6fcf5bc4a67,1607900476590:9fb79bcb-7595-4a42-bf40-3ec8c65494c6,1,True,class java.lang.String,FALSE,TRUE,FALSE,1,Yes
9428,1607900476589:8c98d1d6-c531-4220-a011-6670d0350626,1607900476589:80a92da4-a56f-4d0c-9dcd-0be4a22fa0ee,0,True,EmptyObject,FALSE,FALSE,TRUE,0,No
9429,1607900476589:8c98d1d6-c531-4220-a011-6670d0350626,1607900476589:80a92da4-a56f-4d0c-9dcd-0be4a22fa0ee,1,True,class java.lang.String,TRUE,FALSE,FALSE,0,Yes
9430,1607900476589:8c98d1d6-c531-4220-a011-6670d0350626,1607900476589:80a92da4-a56f-4d0c-9dcd-0be4a22fa0ee,1,True,class java.lang.String,FALSE,FALSE,TRUE,1,Yes
9432,1607900476589:8c98d1d6-c531-4220-a011-6670d0350626,1607900476589:7592d6d4-11bc-4c00-a901-d7f6b6c28ea9,1,True,class java.lang.String,TRUE,FALSE,FALSE,0,Yes
9433,1607900476589:8c98d1d6-c531-4220-a011-6670d0350626,1607900476589:7592d6d4-11bc-4c00-a901-d7f6b6c28ea9,1,True,class java.lang.String,FALSE,TRUE,FALSE,1,Yes
9435,1607900476589:1aa1bcc9-e782-4bf2-829b-5e7840c14d76,1607900476590:f45ed95b-1eae-49ff-a474-b9e8616c2c90,1,True,class java.lang.String,TRUE,FALSE,FALSE,0,Yes
9436,1607900476589:1aa1bcc9-e782-4bf2-829b-5e7840c14d76,1607900476590:f45ed95b-1eae-49ff-a474-b9e8616c2c90,1,True,class java.lang.String,FALSE,TRUE,FALSE,1,Yes
9438,1607900476589:0f3d96b3-d8aa-4752-b3df-e3fd3bec23a1,1607900476589:f7842da2-eaa5-45f0-9a31-64e5ca69cebd,1,True,class java.lang.String,TRUE,FALSE,FALSE,0,Yes
9439,1607900476589:0f3d96b3-d8aa-4752-b3df-e3fd3bec23a1,1607900476589:f7842da2-eaa5-45f0-9a31-64e5ca69cebd,1,True,class java.lang.String,FALSE,TRUE,FALSE,1,Yes
9441,1607900476588:fda7b54a-d0ee-464d-8f28-9d0fd648ad64,1607900476588:d402204f-fd48-44e2-83f1-b1f77f7a6e9a,0,True,EmptyObject,FALSE,FALSE,TRUE,0,No
9442,1607900476588:fda7b54a-d0ee-464d-8f28-9d0fd648ad64,1607900476588:d402204f-fd48-44e2-83f1-b1f77f7a6e9a,1,True,class java.lang.String,TRUE,FALSE,FALSE,0,Yes
9443,1607900476588:fda7b54a-d0ee-464d-8f28-9d0fd648ad64,1607900476588:d402204f-fd48-44e2-83f1-b1f77f7a6e9a,1,True,class java.lang.String,FALSE,TRUE,FALSE,1,Yes
9445,1607900476588:59edcf01-74f8-4b02-b40c-b21607101add,1607900476588:ca620307-9aba-4c7c-8908-d2946f407fd0,1,True,class java.lang.String,TRUE,FALSE,FALSE,0,Yes
9446,1607900476588:59edcf01-74f8-4b02-b40c-b21607101add,1607900476588:ca620307-9aba-4c7c-8908-d2946f407fd0,1,True,class java.lang.String,FALSE,TRUE,FALSE,1,Yes
9448,1607900476588:59edcf01-74f8-4b02-b40c-b21607101add,1607900476588:9fa8413b-683f-4a46-a980-b3b7c54d961c,0,True,EmptyObject,FALSE,FALSE,TRUE,0,No
9449,1607900476588:59edcf01-74f8-4b02-b40c-b21607101add,1607900476588:9fa8413b-683f-4a46-a980-b3b7c54d961c,1,True,class java.lang.String,TRUE,FALSE,FALSE,0,Yes
9450,1607900476588:59edcf01-74f8-4b02-b40c-b21607101add,1607900476588:9fa8413b-683f-4a46-a980-b3b7c54d961c,1,True,class java.lang.String,FALSE,FALSE,TRUE,1,Yes
9451,1607900476588:59edcf01-74f8-4b02-b40c-b21607101add,1607900476588:9fa8413b-683f-4a46-a980-b3b7c54d961c,1,True,class java.lang.String,FALSE,FALSE,TRUE,1,Yes
9452,1607900476588:59edcf01-74f8-4b02-b40c-b21607101add,1607900476588:9fa8413b-683f-4a46-a980-b3b7c54d961c,1,True,class java.lang.String,FALSE,FALSE,TRUE,1,Yes
9455,1607900476587:98eb2817-b613-45ae-86c9-69338a807d5b,1607900476588:7c02a716-8bbb-443f-a75b-0817fb84db9d,1,True,class java.lang.String,TRUE,FALSE,FALSE,0,Yes
9456,1607900476587:98eb2817-b613-45ae-86c9-69338a807d5b,1607900476588:7c02a716-8bbb-443f-a75b-0817fb84db9d,1,True,class java.lang.String,FALSE,TRUE,FALSE,1,Yes
9458,1607900476587:98eb2817-b613-45ae-86c9-69338a807d5b,1607900476588:39134325-e8ac-455b-a19f-ff151386abb4,1,True,class java.lang.String,TRUE,FALSE,FALSE,0,Yes
9460,1607900476587:98eb2817-b613-45ae-86c9-69338a807d5b,1607900476587:75d3d48f-c424-427e-8c5a-f1db934e5b68,0,True,EmptyObject,FALSE,FALSE,TRUE,0,No
9461,1607900476587:98eb2817-b613-45ae-86c9-69338a807d5b,1607900476587:75d3d48f-c424-427e-8c5a-f1db934e5b68,1,True,class java.lang.String,TRUE,FALSE,FALSE,0,Yes
9462,1607900476587:98eb2817-b613-45ae-86c9-69338a807d5b,1607900476587:75d3d48f-c424-427e-8c5a-f1db934e5b68,1,True,class java.lang.String,FALSE,FALSE,TRUE,1,Yes
9463,1607900476587:98eb2817-b613-45ae-86c9-69338a807d5b,1607900476587:75d3d48f-c424-427e-8c5a-f1db934e5b68,1,True,class java.lang.String,FALSE,FALSE,TRUE,1,Yes
9464,1607900476587:98eb2817-b613-45ae-86c9-69338a807d5b,1607900476587:75d3d48f-c424-427e-8c5a-f1db934e5b68,1,True,class java.lang.String,FALSE,FALSE,TRUE,1,Yes
9465,1607900476587:98eb2817-b613-45ae-86c9-69338a807d5b,1607900476587:75d3d48f-c424-427e-8c5a-f1db934e5b68,1,True,class java.lang.String,FALSE,FALSE,TRUE,1,Yes
9467,1607900476587:63779c6e-5fec-4593-80d7-1af3d84f6675,1607900476587:c2af56a8-5b83-4077-a794-4e294c554d2b,1,True,class java.lang.String,TRUE,FALSE,FALSE,0,Yes
9468,1607900476587:63779c6e-5fec-4593-80d7-1af3d84f6675,1607900476587:c2af56a8-5b83-4077-a794-4e294c554d2b,1,True,class java.lang.String,FALSE,TRUE,FALSE,1,Yes
9470,1607900476587:143d7e67-c868-4e57-a259-737fc0258309,1607900476587:0520f1b9-88ea-4c0b-af32-91613d208c4d,1,True,class java.lang.String,TRUE,FALSE,FALSE,0,Yes
9471,1607900476587:143d7e67-c868-4e57-a259-737fc0258309,1607900476587:0520f1b9-88ea-4c0b-af32-91613d208c4d,1,True,class java.lang.String,FALSE,TRUE,FALSE,1,Yes
9473,1607900476586:cbd13ad6-6cda-49f8-98d0-f548bd8dce4d,1607900476587:68052ba4-ba39-4b24-be95-18d34fb01851,1,True,class java.lang.String,TRUE,FALSE,FALSE,0,Yes
9474,1607900476586:cbd13ad6-6cda-49f8-98d0-f548bd8dce4d,1607900476587:68052ba4-ba39-4b24-be95-18d34fb01851,1,True,class java.lang.String,FALSE,TRUE,FALSE,1,Yes
9476,1607900476586:cbd13ad6-6cda-49f8-98d0-f548bd8dce4d,1607900476586:f629bb3f-d464-4ce2-b0e1-3f649e811974,1,True,class java.lang.String,TRUE,FALSE,FALSE,0,Yes
