,size,isEmpty,peek_obj_type,push,pop,clear,size_p,diff,testId,instanceId
1293,"size == ""7""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Integer""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""6""",Yes,1607946326309:ab211ab5-6a7c-43c2-ba94-baef07b78580,1607946326309:45adf1bf-97e4-43b6-a253-2d1e1a453347
1301,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Long""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""1""",Yes,1607946326309:ab211ab5-6a7c-43c2-ba94-baef07b78580,1607946326309:2aaaff60-b7a9-4509-8e63-25c1920099f3
1371,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Float""","push == ""False""","pop == ""True""","clear == ""False""","size_p == ""3""",Yes,1607946326308:3cb1dc35-cb1e-464d-b7db-aa5735cea59f,1607946326308:f8cf156f-96cb-4994-b31f-811b597e15c1
1517,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Short""","push == ""False""","pop == ""True""","clear == ""False""","size_p == ""2""",Yes,1607946326306:04c7e10a-2144-4c91-9ed4-d038c02c4258,1607946326306:34217e17-e089-41ac-bb3b-5d7bfe48a3fd
2169,"size == ""5""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","push == ""False""","pop == ""True""","clear == ""False""","size_p == ""5""",Yes,1607946326295:427b66d7-8e5a-41bc-9f9d-fb0d02ce691d,1607946326295:13f98844-2ccc-4be4-9818-4edb27b3dd4f
2435,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Class""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""2""",Yes,1607946326291:f3f02a75-3f02-4aa3-83b8-480ad658096b,1607946326291:bae8ea4a-2cf2-4075-a570-9a5a07ad5505
2468,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Class""","push == ""False""","pop == ""True""","clear == ""False""","size_p == ""3""",Yes,1607946326291:7e499f9b-ec2e-435d-b160-d0794151e496,1607946326291:4e758f92-4f5a-492d-aaf6-0a2d36f55853
3911,"size == ""6""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","push == ""False""","pop == ""True""","clear == ""False""","size_p == ""6""",Yes,1607946326275:fefcc6a9-eb57-4d0d-9075-b5db3e9f4444,1607946326275:2d44ccf5-6383-41cf-96b6-50702e87e475
4411,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Class""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""1""",Yes,1607946326271:0ec9db52-528e-44b8-9bdb-8321fff3ad85,1607946326271:02f5607e-ec38-4f2d-9199-21bc17dbc5ef
4770,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Boolean""","push == ""False""","pop == ""True""","clear == ""False""","size_p == ""4""",Yes,1607946326267:74871d1f-a77e-4844-9da7-1e962de8ddf3,1607946326267:c9f93519-5926-422e-ba6e-7cba49073345
