,size,isEmpty,peek_obj_type,push,pop,clear,size_p,diff,testId,instanceId
1208,"size == ""103""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Double""","push == ""False""","pop == ""True""","clear == ""False""","size_p == ""103""",Yes,1607893687709:4294f8f4-16e1-492c-9230-011cdb3bb15c,1607893687709:4a69b5be-a32f-4ac5-b9a9-f766bfef22da
1320,"size == ""103""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Float""","push == ""False""","pop == ""True""","clear == ""False""","size_p == ""103""",Yes,1607893687707:369c2132-fe76-4440-bc15-245cb4beb320,1607893687707:8833cdd7-557b-4f13-ad54-0c8ae6c8351d
1371,"size == ""105""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Short""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""104""",Yes,1607893687707:317066a4-8d44-4578-8782-665235aa2c61,1607893687707:5998e695-b009-44fc-b12b-954e0cdf81a5
1373,"size == ""107""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Long""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""106""",Yes,1607893687707:317066a4-8d44-4578-8782-665235aa2c61,1607893687707:5998e695-b009-44fc-b12b-954e0cdf81a5
1421,"size == ""102""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Short""","push == ""False""","pop == ""True""","clear == ""False""","size_p == ""102""",Yes,1607893687706:4cc1c2b7-6eb6-4c7b-993b-29900c0c2ce5,1607893687706:6eefc915-2a3d-433c-b51d-adcd6b6b7e8b
1657,"size == ""104""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Integer""","push == ""False""","pop == ""True""","clear == ""False""","size_p == ""104""",Yes,1607893687704:3669317e-4748-4fb1-806f-6d1bd55470e5,1607893687704:7c1ef9a5-59b2-4f2a-8294-f9a18b85577b
2144,"size == ""105""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","push == ""False""","pop == ""True""","clear == ""False""","size_p == ""105""",Yes,1607893687699:f2beb84e-9c5a-4eb9-8c78-4e9fd77b0473,1607893687699:4fc20a32-e011-49ae-b070-9f1a144f5305
3223,"size == ""101""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Double""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""0""",Yes,1607893687688:968448e1-9949-4ecc-a02b-580996627f16,1607893687688:eca26a56-2979-49d5-b1fd-c5078ff3058a
4022,"size == ""106""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","push == ""False""","pop == ""True""","clear == ""False""","size_p == ""106""",Yes,1607893687681:c9802883-7287-463a-b022-4621e9a62d29,1607893687681:0587b83c-94d4-40f9-9a5a-d45da3001cdb
4482,"size == ""101""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Integer""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""0""",Yes,1607893687676:b43ccb36-1f6b-425b-91ac-2b2cd8456470,1607893687676:5e74b822-7c36-465b-8f36-1b334efe70fc
4711,"size == ""104""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Boolean""","push == ""False""","pop == ""True""","clear == ""False""","size_p == ""104""",Yes,1607893687673:4b935174-c195-4e02-abc5-8dbbcfa69d63,1607893687673:e75a368b-8329-47c8-ae56-86f6077fd04f
5461,"size == ""105""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Class""","push == ""False""","pop == ""True""","clear == ""False""","size_p == ""105""",Yes,1607893687666:e3286155-c969-42c9-8760-20d33047f176,1607893687666:b2c4af68-742c-45bf-95b5-08e381c09932
6508,"size == ""102""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Integer""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""101""",Yes,1607893687655:84740b28-fa0f-4c10-8baa-f7293d28dcb1,1607893687656:904df83b-c07e-433a-84e1-05c87bd5e58e
6924,"size == ""103""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Character""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""102""",Yes,1607893687651:1e762bdd-4ec9-4430-b8f8-8d20bfc06322,1607893687651:44a6da89-bb5e-42a3-8de0-1eda79395a67
7210,"size == ""101""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Integer""","push == ""False""","pop == ""True""","clear == ""False""","size_p == ""101""",Yes,1607893687647:8569fe52-0058-4d16-9eaa-c0122f7f44fd,1607893687647:5bdcaa1a-f31f-483b-bf63-2f126e2771ef
9467,"size == ""102""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Byte""","push == ""False""","pop == ""True""","clear == ""False""","size_p == ""102""",Yes,1607893687605:946c9b0b-6c54-4ce4-93b6-a82509b3e62e,1607893687605:989cccbe-d663-491c-970f-9d33b6b3099c
12570,"size == ""102""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Integer""","push == ""False""","pop == ""True""","clear == ""False""","size_p == ""102""",Yes,1607893687549:626d524a-377d-4029-b6ff-57beceb00a74,1607893687549:6a3b5d35-64b6-4370-b7dc-0c461391e4bd
13859,"size == ""101""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Object""","push == ""False""","pop == ""True""","clear == ""False""","size_p == ""101""",Yes,1607893687529:81184eec-ec80-4213-80ee-9c1679f2104b,1607893687529:d864a420-a72c-4607-8277-10b427b94e06
15655,"size == ""106""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Long""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""105""",Yes,1607893687503:e604f3ed-3088-458c-a6a9-a338e6e904e0,1607893687503:68c1279b-a77a-4061-9b78-0465e8a621ad
15656,"size == ""107""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""106""",Yes,1607893687503:e604f3ed-3088-458c-a6a9-a338e6e904e0,1607893687503:68c1279b-a77a-4061-9b78-0465e8a621ad
22084,"size == ""105""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Byte""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""104""",Yes,1607893687399:6a968202-1066-499d-8d01-f0fcaf27d2da,1607893687399:49dcd493-4392-4020-b4b2-f3ecde99b5c4
24410,"size == ""101""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Double""","push == ""False""","pop == ""True""","clear == ""False""","size_p == ""101""",Yes,1607893687356:833b3842-8ebf-4008-bf61-3e9ce73be303,1607893687356:f21f50ac-c235-4fad-a3c4-2f65e1cb7642
24774,"size == ""101""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Short""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""0""",Yes,1607893687351:e3191fbe-ece2-4989-8060-6c2d472de73f,1607893687351:a7e5f16d-ba34-4b43-91c4-8a4d3b1b9a94
25630,"size == ""101""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Character""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""0""",Yes,1607893687342:be2f580c-4ef6-4711-81aa-ad4070e8e469,1607893687342:5f6c5fda-1d65-4355-997f-5e37ebef0134
26090,"size == ""101""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Boolean""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""0""",Yes,1607893687336:245588c4-6947-4ae3-9fef-91055f60e82d,1607893687336:bb0326b6-8e69-4770-9a69-ae52c1359a43
30973,"size == ""101""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Character""","push == ""False""","pop == ""True""","clear == ""False""","size_p == ""101""",Yes,1607893687264:1b8327bf-7739-4efb-af9c-8510c68c9d03,1607893687264:08f8d14e-67c4-4f87-b89c-068af1821cbb
31259,"size == ""107""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Long""","push == ""False""","pop == ""True""","clear == ""False""","size_p == ""107""",Yes,1607893687259:d1c039a8-0019-4b0d-94a3-4c597a4e2035,1607893687259:1017bb2e-a2d9-4040-9af5-43115e803547
33429,"size == ""106""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Class""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""105""",Yes,1607893687233:0b1deaa1-eb54-4442-bc5f-cbf5b2dc6bd4,1607893687233:ae01e246-5a8b-4b20-8281-7a398fd8aa79
36230,"size == ""105""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Byte""","push == ""False""","pop == ""True""","clear == ""False""","size_p == ""105""",Yes,1607893687184:5fbe07df-4c02-4979-9f01-5cf67e7db622,1607893687184:1d863c1e-23f7-4847-83eb-f4d36ce30621
38496,"size == ""106""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Long""","push == ""False""","pop == ""True""","clear == ""False""","size_p == ""106""",Yes,1607893687147:c9a9a9fb-8a57-459f-a274-4fe81d98276c,1607893687147:5c5348c0-11a0-4fad-8999-5744169b3479
46448,"size == ""104""","isEmpty == ""False""","peek_obj_type == ""class java.lang.String""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""103""",Yes,1607893687005:6304d421-f8cd-42ab-b282-4e116f1faa37,1607893687005:08ddc4ae-c1e5-49f8-82de-2b804caf3807
53299,"size == ""101""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Byte""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""0""",Yes,1607893686871:bd5d0571-7063-4a1f-bce0-71476d3fa5d6,1607893686871:88d44d6d-ff0d-427e-a3c1-85c4b6a28cce
60244,"size == ""106""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Class""","push == ""False""","pop == ""True""","clear == ""False""","size_p == ""106""",Yes,1607893686679:b4a2cac3-8b2d-401d-9291-6c467094826b,1607893686679:b9b1c502-73c8-404d-b54b-97131bf6d73a
