,size,isEmpty,peek_obj_type,push,pop,clear,size_p,diff,testId,instanceId
571,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","push == ""False""","pop == ""False""","clear == ""True""","size_p == ""2""",Yes,1607893902378:6f8b9dee-0e49-4313-8768-587e9e396701,1607893902378:c3ab9b9d-1ec3-4cb9-9abe-3bfbb7bfa33d
578,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Double""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""2""",Yes,1607893902378:6f8b9dee-0e49-4313-8768-587e9e396701,1607893902378:b5a0b30d-fa46-40c9-9e40-fe3f5e6ad1c3
579,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Boolean""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""3""",Yes,1607893902378:6f8b9dee-0e49-4313-8768-587e9e396701,1607893902378:b5a0b30d-fa46-40c9-9e40-fe3f5e6ad1c3
582,"size == ""6""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","push == ""False""","pop == ""False""","clear == ""True""","size_p == ""6""",Yes,1607893902378:6f8b9dee-0e49-4313-8768-587e9e396701,1607893902378:b5a0b30d-fa46-40c9-9e40-fe3f5e6ad1c3
607,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Byte""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""3""",Yes,1607893902378:6f8b9dee-0e49-4313-8768-587e9e396701,1607893902378:894f3c77-4e84-4740-bfef-f265c18c9983
608,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Byte""","push == ""False""","pop == ""True""","clear == ""False""","size_p == ""4""",Yes,1607893902378:6f8b9dee-0e49-4313-8768-587e9e396701,1607893902378:894f3c77-4e84-4740-bfef-f265c18c9983
609,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Byte""","push == ""False""","pop == ""False""","clear == ""True""","size_p == ""4""",Yes,1607893902378:6f8b9dee-0e49-4313-8768-587e9e396701,1607893902378:894f3c77-4e84-4740-bfef-f265c18c9983
633,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Long""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""3""",Yes,1607893902378:6f8b9dee-0e49-4313-8768-587e9e396701,1607893902378:3077ba90-8f77-47b3-8d00-8248f5638f11
634,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Long""","push == ""False""","pop == ""True""","clear == ""False""","size_p == ""4""",Yes,1607893902378:6f8b9dee-0e49-4313-8768-587e9e396701,1607893902378:3077ba90-8f77-47b3-8d00-8248f5638f11
635,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Long""","push == ""False""","pop == ""False""","clear == ""True""","size_p == ""4""",Yes,1607893902378:6f8b9dee-0e49-4313-8768-587e9e396701,1607893902378:3077ba90-8f77-47b3-8d00-8248f5638f11
