,testId,instanceId,size,isEmpty,peek_obj_type,push,pop,clear,calledMethod,size_p,diff
2281,1607884350653:98d4ea05-6a4c-48af-add1-8f93bd7a356e,1607884350653:64371725-8081-43ea-82a1-10d25492f564,0,True,EmptyObject,class java.lang.String,none,none,push,0,Yes
2282,1607884350653:98d4ea05-6a4c-48af-add1-8f93bd7a356e,1607884350653:64371725-8081-43ea-82a1-10d25492f564,0,True,EmptyObject,none,none,clear,clear,0,No
2283,1607884350653:98d4ea05-6a4c-48af-add1-8f93bd7a356e,1607884350653:64371725-8081-43ea-82a1-10d25492f564,0,True,EmptyObject,none,none,clear,clear,0,No
2284,1607884350653:98d4ea05-6a4c-48af-add1-8f93bd7a356e,1607884350653:64371725-8081-43ea-82a1-10d25492f564,0,True,EmptyObject,none,none,clear,clear,0,No
2286,1607884350653:98d4ea05-6a4c-48af-add1-8f93bd7a356e,1607884350653:1f2df1cd-e507-42fb-863b-dd0a46a2cc2b,0,True,EmptyObject,class java.lang.String,none,none,push,0,Yes
2287,1607884350653:98d4ea05-6a4c-48af-add1-8f93bd7a356e,1607884350653:1f2df1cd-e507-42fb-863b-dd0a46a2cc2b,0,True,EmptyObject,class java.lang.String,none,none,push,0,Yes
2289,1607884350653:86475937-8f63-411a-9f12-237e7976bc51,1607884350653:a294a966-66d7-462f-9c51-b58b12f0723a,0,True,EmptyObject,class java.lang.String,none,none,push,0,Yes
2290,1607884350653:86475937-8f63-411a-9f12-237e7976bc51,1607884350653:a294a966-66d7-462f-9c51-b58b12f0723a,0,True,EmptyObject,none,EmptyObject,none,pop,0,No
2292,1607884350653:86475937-8f63-411a-9f12-237e7976bc51,1607884350653:42429515-3764-4989-91c7-6ce7617122ad,0,True,EmptyObject,class java.lang.String,none,none,push,0,Yes
2293,1607884350653:86475937-8f63-411a-9f12-237e7976bc51,1607884350653:42429515-3764-4989-91c7-6ce7617122ad,0,True,EmptyObject,class java.lang.String,none,none,push,0,Yes
2294,1607884350653:86475937-8f63-411a-9f12-237e7976bc51,1607884350653:42429515-3764-4989-91c7-6ce7617122ad,0,True,EmptyObject,class java.lang.String,none,none,push,0,Yes
2296,1607884350653:842d52a5-d95c-4d2d-ad64-0985d41c44f6,1607884350653:b7fa49b4-e264-4d29-927d-e04dc9b41625,0,True,EmptyObject,class java.lang.String,none,none,push,0,Yes
2297,1607884350653:842d52a5-d95c-4d2d-ad64-0985d41c44f6,1607884350653:b7fa49b4-e264-4d29-927d-e04dc9b41625,0,True,EmptyObject,none,EmptyObject,none,pop,0,No
2299,1607884350653:842d52a5-d95c-4d2d-ad64-0985d41c44f6,1607884350653:050ea091-e761-44dd-821a-d48ad1e69baa,0,True,EmptyObject,class java.lang.String,none,none,push,0,Yes
2300,1607884350653:842d52a5-d95c-4d2d-ad64-0985d41c44f6,1607884350653:050ea091-e761-44dd-821a-d48ad1e69baa,0,True,EmptyObject,class java.lang.String,none,none,push,0,Yes
2302,1607884350653:3e79c56b-decf-4551-a5ea-b2e4e2c9f2bb,1607884350653:c42eb2ee-e6e8-4d03-bdba-d90611eb0599,0,True,EmptyObject,class java.lang.String,none,none,push,0,Yes
2303,1607884350653:3e79c56b-decf-4551-a5ea-b2e4e2c9f2bb,1607884350653:c42eb2ee-e6e8-4d03-bdba-d90611eb0599,0,True,EmptyObject,none,EmptyObject,none,pop,0,No
2305,1607884350652:e0af31d6-a2bd-4f67-9599-33be9c69ebe4,1607884350652:865bbbe9-8529-4d98-b9e4-bc67a3529179,0,True,EmptyObject,class java.lang.String,none,none,push,0,Yes
2306,1607884350652:e0af31d6-a2bd-4f67-9599-33be9c69ebe4,1607884350652:865bbbe9-8529-4d98-b9e4-bc67a3529179,0,True,EmptyObject,none,EmptyObject,none,pop,0,No
2308,1607884350652:e0af31d6-a2bd-4f67-9599-33be9c69ebe4,1607884350652:7a82778c-1685-465a-80d3-b6bc5612f250,0,True,EmptyObject,none,none,clear,clear,0,No
2309,1607884350652:e0af31d6-a2bd-4f67-9599-33be9c69ebe4,1607884350652:7a82778c-1685-465a-80d3-b6bc5612f250,0,True,EmptyObject,class java.lang.String,none,none,push,0,Yes
2310,1607884350652:e0af31d6-a2bd-4f67-9599-33be9c69ebe4,1607884350652:7a82778c-1685-465a-80d3-b6bc5612f250,0,True,EmptyObject,none,none,clear,clear,0,No
2311,1607884350652:e0af31d6-a2bd-4f67-9599-33be9c69ebe4,1607884350652:7a82778c-1685-465a-80d3-b6bc5612f250,0,True,EmptyObject,none,none,clear,clear,0,No
2312,1607884350652:e0af31d6-a2bd-4f67-9599-33be9c69ebe4,1607884350652:7a82778c-1685-465a-80d3-b6bc5612f250,0,True,EmptyObject,none,none,clear,clear,0,No
2314,1607884350652:d111b3d6-61f8-44ef-8367-68658657e488,1607884350652:cd834488-378c-4074-a58a-0ce25e775ef0,0,True,EmptyObject,class java.lang.String,none,none,push,0,Yes
2315,1607884350652:d111b3d6-61f8-44ef-8367-68658657e488,1607884350652:cd834488-378c-4074-a58a-0ce25e775ef0,0,True,EmptyObject,none,EmptyObject,none,pop,0,No
2317,1607884350652:a8eca93d-5020-4aa7-85c1-238afd2a9583,1607884350652:c64c7718-167b-4375-a94a-fc7062448fe1,0,True,EmptyObject,class java.lang.String,none,none,push,0,Yes
2318,1607884350652:a8eca93d-5020-4aa7-85c1-238afd2a9583,1607884350652:c64c7718-167b-4375-a94a-fc7062448fe1,0,True,EmptyObject,none,EmptyObject,none,pop,0,No
2320,1607884350652:31a79b44-05dc-40de-9cb6-8d73b7ffbbaf,1607884350652:5016824d-fa5f-4403-be68-11abf8591008,0,True,EmptyObject,class java.lang.String,none,none,push,0,Yes
