,testId,instanceId,size,isEmpty,peek_obj_type,push,pop,clear,calledMethod,size_p,diff
1674,1607937229772:d9bf6045-b63f-454f-a6eb-e8a73f14e41b,1607937229772:e55c7cc0-66c6-4964-a480-c89c56195585,0,True,EmptyObject,FALSE,FALSE,TRUE,clear,0,No
1678,1607937229772:a1ddaffa-fbf9-41b1-acde-246139422554,1607937229772:1c5f730f-98ac-4d3c-88e9-1a6fdbab3c07,0,True,EmptyObject,FALSE,FALSE,TRUE,clear,0,No
1684,1607937229772:22790916-8b2c-4ae9-8ffd-f2174a4c668a,1607937229772:6114c070-e794-483a-834f-8e0f9a1d7193,0,True,EmptyObject,FALSE,FALSE,TRUE,clear,0,No
1691,1607937229771:9bc4db88-0126-43de-ae0a-0ef1f383c31c,1607937229771:c503b3e9-0b24-4a3e-b826-c6f24d449fff,0,True,EmptyObject,FALSE,FALSE,TRUE,clear,0,No
1699,1607937229770:a18d02f2-892c-4556-8437-a1cfe4eb3f1f,1607937229770:0e52c3ad-4cdd-4c7e-af3d-7e22786682fd,0,True,EmptyObject,FALSE,FALSE,TRUE,clear,0,No
1702,1607937229770:6b094646-f918-4d0c-b1ae-878216a7ab16,1607937229770:32ec7ee7-238e-4dc1-af09-cb5a62dc6384,0,True,EmptyObject,FALSE,FALSE,TRUE,clear,0,No
1705,1607937229770:4266f836-21d1-4309-9ee2-c7e2f8bbe507,1607937229770:799584e6-09d4-4c06-a22d-d8fd5dbc8ca5,0,True,EmptyObject,FALSE,FALSE,TRUE,clear,0,No
1707,1607937229770:112f7f62-edc0-4acc-bb0c-e39b42ff96f4,1607937229770:44360300-5603-4c58-8425-d984b353ed4e,0,True,EmptyObject,FALSE,FALSE,TRUE,clear,0,No
1711,1607937229769:f2d60f53-6641-4dc7-8f95-575b94a095a3,1607937229769:d17b1862-4655-4970-aa1d-62f23c3e9f6b,0,True,EmptyObject,FALSE,FALSE,TRUE,clear,0,No
1713,1607937229769:9f9c769d-5c19-4e11-b4a8-57eb0737e5b1,1607937229769:3520a381-83d2-468d-9752-28f672455db2,0,True,EmptyObject,FALSE,FALSE,TRUE,clear,0,No
1717,1607937229769:15889fe6-0ca1-4125-9991-68b47792ce18,1607937229769:5d7519bf-b2aa-434d-be77-0df40aec2d58,0,True,EmptyObject,FALSE,FALSE,TRUE,clear,0,No
1720,1607937229768:b99be81e-5663-4278-a2ea-7fe2e3679e98,1607937229768:7a279260-2c29-4398-8ebe-d26b3fed1429,0,True,EmptyObject,FALSE,FALSE,TRUE,clear,0,No
1722,1607937229768:b56901ef-6370-48b8-a304-097b0f0f9719,1607937229768:da23d788-0bb2-4957-ad50-3a7951b93639,0,True,EmptyObject,FALSE,FALSE,TRUE,clear,0,No
1730,1607937229767:b765a672-03a4-49cf-8467-a97716e58111,1607937229767:dd537320-6edc-4c39-b846-70e271c7f50b,0,True,EmptyObject,FALSE,FALSE,TRUE,clear,0,No
1734,1607937229767:a275c7a0-fcdc-41f5-a487-1e34491bc80f,1607937229767:38c414ae-1fbd-46b7-830a-002ac67601e2,0,True,EmptyObject,FALSE,FALSE,TRUE,clear,0,No
1745,1607937229766:bf4a1ca8-f69b-401b-9523-6c7c08752bd2,1607937229766:053ad01f-17f9-4ed1-acfc-7b93ae54e487,0,True,EmptyObject,FALSE,FALSE,TRUE,clear,0,No
1747,1607937229766:6413e069-8561-4b94-9404-8b182aab4f1f,1607937229766:b995b87b-3754-4a0b-8123-1ba96158bf03,0,True,EmptyObject,FALSE,FALSE,TRUE,clear,0,No
1750,1607937229765:8ede3795-edee-43df-8da3-85ea65afda6b,1607937229766:823a6352-7b74-4db2-a5cb-f40d8304d902,0,True,EmptyObject,FALSE,FALSE,TRUE,clear,0,No
1768,1607937229763:9bc1be6e-cbeb-41f4-92db-0f74b406d3b8,1607937229763:5bc92b22-29cd-4f09-b9b5-e21b353351a1,0,True,EmptyObject,FALSE,FALSE,TRUE,clear,0,No
1772,1607937229763:4271335f-ce86-410d-8f5e-2f7cc60a3a79,1607937229763:2464e4ee-b9c1-4985-8f2d-ba1c29b76d85,0,True,EmptyObject,FALSE,FALSE,TRUE,clear,0,No
1774,1607937229762:aa9087c1-5e78-43d1-b3db-19b262c583ff,1607937229762:18ff7fb2-d26c-4ae8-a4a5-9cf141a2f175,0,True,EmptyObject,FALSE,FALSE,TRUE,clear,0,No
