,testId,instanceId,size,isEmpty,peek_obj_type,push,pop,clear,size_p,isEmpty_p,peek_obj_type_p,push_p,pop_p,clear_p,diff
5620,1607938043506:1eaf3f6f-3620-457f-8341-bece2d1e3112,1607938043506:4c73fb67-9c5e-470e-ad38-3e68ea90d672,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""none""","pop_p == ""none""","clear_p == ""none""",Yes
5621,1607938043506:1eaf3f6f-3620-457f-8341-bece2d1e3112,1607938043506:4c73fb67-9c5e-470e-ad38-3e68ea90d672,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""class java.lang.String""","pop_p == ""none""","clear_p == ""none""",Yes
5623,1607938043505:2e988c15-8bd2-45d6-bbb3-74b03f758cec,1607938043505:8f93fae1-8413-4bf6-8b72-661c75866f38,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""none""","pop_p == ""none""","clear_p == ""none""",Yes
5626,1607938043505:1f9349a9-5a1c-43cb-89fe-9540eafe7705,1607938043505:300f3d5c-a075-4fe5-b109-cac77b34f5c5,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""none""","pop_p == ""none""","clear_p == ""none""",Yes
5629,1607938043504:690871d5-b05e-4fec-9376-befb7ce0784e,1607938043504:0f2eb5b9-64b7-4925-8b9c-e43a31a845b5,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""none""","pop_p == ""none""","clear_p == ""none""",Yes
5632,1607938043504:5c1e74b8-01c6-4388-a186-f43f92ad9906,1607938043504:d15cd9ff-05a9-432e-8839-ef1b11bab31e,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""none""","pop_p == ""none""","clear_p == ""none""",Yes
5636,1607938043504:5c1e74b8-01c6-4388-a186-f43f92ad9906,1607938043504:95d2652a-5bf8-4c2f-b5da-d9d8d9f24509,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""none""","pop_p == ""none""","clear_p == ""none""",Yes
5638,1607938043504:453e888c-d0ee-483b-97c8-587f6fb3a9a1,1607938043504:4185aa15-790f-4074-887d-bb9539853028,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""none""","pop_p == ""none""","clear_p == ""none""",Yes
5640,1607938043504:453e888c-d0ee-483b-97c8-587f6fb3a9a1,1607938043504:34499f86-ba5f-4bd1-aaba-2bd8d1644e42,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""none""","pop_p == ""none""","clear_p == ""none""",Yes
5643,1607938043504:442f8bca-70e5-4cd2-99f3-2b5e2daa9bbb,1607938043504:ef3e9875-2abc-45fb-a7c6-c81224865f15,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""none""","pop_p == ""none""","clear_p == ""none""",Yes
