,testId,instanceId,size,isEmpty,peek_obj_type,push,pop,clear,size_p,diff
104,1607899088088:45ebdf11-7a2d-46b0-ae9c-754f58333e62,1607899088088:015f0a60-77a9-4aaf-bc08-a133aa5dd7b0,"size == ""1""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","size_p == ""0""",Yes
105,1607899088088:45ebdf11-7a2d-46b0-ae9c-754f58333e62,1607899088088:015f0a60-77a9-4aaf-bc08-a133aa5dd7b0,"size == ""1""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""none""","pop == ""class java.lang.String""","clear == ""none""","size_p == ""1""",Yes
107,1607899088088:39bbb119-cd99-4b82-88a3-10147b4f4f97,1607899088088:cebbd816-f611-46ab-be3e-b2583e2ec91a,"size == ""1""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","size_p == ""0""",Yes
108,1607899088088:39bbb119-cd99-4b82-88a3-10147b4f4f97,1607899088088:cebbd816-f611-46ab-be3e-b2583e2ec91a,"size == ""2""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","size_p == ""1""",Yes
110,1607899088088:39bbb119-cd99-4b82-88a3-10147b4f4f97,1607899088088:2f7448ee-5a64-4250-be22-0459c27bb1a6,"size == ""1""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","size_p == ""0""",Yes
111,1607899088088:39bbb119-cd99-4b82-88a3-10147b4f4f97,1607899088088:2f7448ee-5a64-4250-be22-0459c27bb1a6,"size == ""1""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""none""","pop == ""class java.lang.String""","clear == ""none""","size_p == ""1""",Yes
113,1607899088087:d857bc10-cc21-450f-b6e3-3bfd266e2656,1607899088087:5b3da893-4dcd-44ed-954b-61f4b335b79f,"size == ""1""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","size_p == ""0""",Yes
114,1607899088087:d857bc10-cc21-450f-b6e3-3bfd266e2656,1607899088087:5b3da893-4dcd-44ed-954b-61f4b335b79f,"size == ""1""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""none""","pop == ""class java.lang.String""","clear == ""none""","size_p == ""1""",Yes
117,1607899088087:5ce2417e-551a-4463-b48f-b00a78df4beb,1607899088087:7ebe0a6c-828b-4734-bfd2-4f4255f84b4a,"size == ""1""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","size_p == ""0""",Yes
119,1607899088087:5ce2417e-551a-4463-b48f-b00a78df4beb,1607899088087:731a2bff-6fe0-49ca-90fc-dfa7e7f7fbfd,"size == ""1""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","size_p == ""0""",Yes
120,1607899088087:5ce2417e-551a-4463-b48f-b00a78df4beb,1607899088087:731a2bff-6fe0-49ca-90fc-dfa7e7f7fbfd,"size == ""1""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""none""","pop == ""class java.lang.String""","clear == ""none""","size_p == ""1""",Yes
122,1607899088087:4a9ff8b7-ac50-4d8c-946c-dc8e864d1d36,1607899088087:fabb7806-d5e4-43ae-9df6-b512c1fb3d93,"size == ""1""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","size_p == ""0""",Yes
123,1607899088087:4a9ff8b7-ac50-4d8c-946c-dc8e864d1d36,1607899088087:fabb7806-d5e4-43ae-9df6-b512c1fb3d93,"size == ""2""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","size_p == ""1""",Yes
125,1607899088087:4a9ff8b7-ac50-4d8c-946c-dc8e864d1d36,1607899088087:16165d4e-ae5c-44f4-ac63-b26574f6059e,"size == ""1""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","size_p == ""0""",Yes
