testId,instanceId,size,isEmpty,peek,peek_obj_type,calledMethod,pushInput,diff
1607925828477:ff71e189-3fb5-4f25-a32a-e0f5c599b330,1607925828477:af885abb-ad45-4b7e-b7a2-cfbb65a52028,0,True,EmptyObject,EmptyObject,clear,none,No
1607925828477:ff71e189-3fb5-4f25-a32a-e0f5c599b330,1607925828477:af885abb-ad45-4b7e-b7a2-cfbb65a52028,0,True,EmptyObject,EmptyObject,clear,none,No
1607925828477:ff71e189-3fb5-4f25-a32a-e0f5c599b330,1607925828477:af885abb-ad45-4b7e-b7a2-cfbb65a52028,0,True,EmptyObject,EmptyObject,clear,none,No
1607925828477:ff71e189-3fb5-4f25-a32a-e0f5c599b330,1607925828477:af885abb-ad45-4b7e-b7a2-cfbb65a52028,0,True,EmptyObject,EmptyObject,clear,none,No
1607925828477:ff71e189-3fb5-4f25-a32a-e0f5c599b330,1607925828478:0002bd31-20d1-42a2-a012-070648ba19cb,0,True,EmptyObject,EmptyObject,CTOR,none,No
1607925828477:ff71e189-3fb5-4f25-a32a-e0f5c599b330,1607925828478:a8b0413e-bbbf-4584-ba82-c17bb1063406,0,True,EmptyObject,EmptyObject,CTOR,none,No
1607925828477:ff71e189-3fb5-4f25-a32a-e0f5c599b330,1607925828478:a8b0413e-bbbf-4584-ba82-c17bb1063406,0,True,EmptyObject,EmptyObject,push,class java.lang.String,Yes
1607925828477:ff71e189-3fb5-4f25-a32a-e0f5c599b330,1607925828478:9aa7e5f4-477a-4d04-aa8a-946967619af6,0,True,EmptyObject,EmptyObject,CTOR,none,No
1607925828477:ff71e189-3fb5-4f25-a32a-e0f5c599b330,1607925828478:9aa7e5f4-477a-4d04-aa8a-946967619af6,0,True,EmptyObject,EmptyObject,push,class java.lang.String,Yes
1607925828477:ff71e189-3fb5-4f25-a32a-e0f5c599b330,1607925828478:9aa7e5f4-477a-4d04-aa8a-946967619af6,0,True,EmptyObject,EmptyObject,pop,none,No
--,--,--,--,--,--,--,--,Yes
--,--,--,--,--,--,--,--,Yes
--,--,--,--,--,--,--,--,Yes
--,--,--,--,--,--,--,--,Yes
--,--,--,--,--,--,--,--,Yes
--,--,--,--,--,--,--,--,Yes
