,testId,instanceId,size,isEmpty,peek,peek_obj_type,calledMethod,pushInput,diff,size_p,isEmpty_p,peek_p,peek_obj_type_p,calledMethod_p,pushInput_p
4617,1604916242479:21cf25a2-d493-4400-bc9f-098c2b2b9edb,1604916242479:dcf52330-2a2d-4a69-9e35-4ffe98ca1ea0,0,True,EmptyObject,EmptyObject,clear,none,No,0,True,EmptyObject,EmptyObject,clear,none
4618,1604916242479:21cf25a2-d493-4400-bc9f-098c2b2b9edb,1604916242479:dcf52330-2a2d-4a69-9e35-4ffe98ca1ea0,0,True,EmptyObject,EmptyObject,clear,none,No,0,True,EmptyObject,EmptyObject,clear,none
4620,1604916242479:21cf25a2-d493-4400-bc9f-098c2b2b9edb,1604916242479:592f03b7-ad3c-45b8-a095-1c93fee130c1,0,True,EmptyObject,EmptyObject,push,class java.lang.String,Yes,0,True,EmptyObject,EmptyObject,CTOR,none
4621,1604916242479:21cf25a2-d493-4400-bc9f-098c2b2b9edb,1604916242479:592f03b7-ad3c-45b8-a095-1c93fee130c1,0,True,EmptyObject,EmptyObject,pop,none,No,0,True,EmptyObject,EmptyObject,push,class java.lang.String
4623,1604916242479:215c7a8d-da09-4e22-bce0-ea484c1bb075,1604916242479:ca98f36e-ab43-48ab-b246-cef85e4bd6b3,0,True,EmptyObject,EmptyObject,push,class java.lang.String,Yes,0,True,EmptyObject,EmptyObject,CTOR,none
4624,1604916242479:215c7a8d-da09-4e22-bce0-ea484c1bb075,1604916242479:ca98f36e-ab43-48ab-b246-cef85e4bd6b3,0,True,EmptyObject,EmptyObject,pop,none,No,0,True,EmptyObject,EmptyObject,push,class java.lang.String
4627,1604916242478:efb861d5-e735-43fe-8d8c-743e16622378,1604916242478:5dab9aa0-673d-4ae8-84f4-30de9519dbf5,0,True,EmptyObject,EmptyObject,push,class java.lang.String,Yes,0,True,EmptyObject,EmptyObject,CTOR,none
4629,1604916242478:efb861d5-e735-43fe-8d8c-743e16622378,1604916242478:34007c5e-e44a-4b02-bc24-d8ec1bfd3726,0,True,EmptyObject,EmptyObject,push,class java.lang.String,Yes,0,True,EmptyObject,EmptyObject,CTOR,none
4630,1604916242478:efb861d5-e735-43fe-8d8c-743e16622378,1604916242478:34007c5e-e44a-4b02-bc24-d8ec1bfd3726,0,True,EmptyObject,EmptyObject,pop,none,No,0,True,EmptyObject,EmptyObject,push,class java.lang.String
4632,1604916242478:cc8a0b24-aee1-4c26-a5d8-abd2372ef129,1604916242478:4d23d04a-08f1-43b4-9823-57ec5d81c90b,0,True,EmptyObject,EmptyObject,push,class java.lang.String,Yes,0,True,EmptyObject,EmptyObject,CTOR,none
