,testId,instanceId,size,isEmpty,peek_obj_type,push,pop,clear,size_p,isEmpty_p,peek_obj_type_p,push_p,pop_p,clear_p,diff
2888,1607899410113:f5628623-82d6-4dcd-bc6e-f4c5a2a36fc7,1607899410113:221b9ae1-dcfc-4b2c-a0bf-2e5d061e1e19,"size == ""101""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""False""","pop_p == ""False""","clear_p == ""False""",Yes
2889,1607899410113:f5628623-82d6-4dcd-bc6e-f4c5a2a36fc7,1607899410113:221b9ae1-dcfc-4b2c-a0bf-2e5d061e1e19,"size == ""101""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""False""","pop == ""True""","clear == ""False""","size_p == ""101""","isEmpty_p == ""True""","peek_obj_type_p == ""class java.lang.String""","push_p == ""True""","pop_p == ""False""","clear_p == ""False""",Yes
2891,1607899410113:d97f1bad-380d-43ea-9673-8f88d0da00af,1607899410113:d006cbb0-333a-45a8-959f-9549ebc9bb80,"size == ""101""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""False""","pop_p == ""False""","clear_p == ""False""",Yes
2892,1607899410113:d97f1bad-380d-43ea-9673-8f88d0da00af,1607899410113:d006cbb0-333a-45a8-959f-9549ebc9bb80,"size == ""101""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""False""","pop == ""True""","clear == ""False""","size_p == ""101""","isEmpty_p == ""True""","peek_obj_type_p == ""class java.lang.String""","push_p == ""True""","pop_p == ""False""","clear_p == ""False""",Yes
2894,1607899410113:d97f1bad-380d-43ea-9673-8f88d0da00af,1607899410113:3aa023f1-042d-415e-8c3f-3fe2024a4e6c,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""False""","pop == ""False""","clear == ""True""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""False""","pop_p == ""False""","clear_p == ""False""",No
2895,1607899410113:d97f1bad-380d-43ea-9673-8f88d0da00af,1607899410113:3aa023f1-042d-415e-8c3f-3fe2024a4e6c,"size == ""101""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""False""","pop_p == ""False""","clear_p == ""True""",Yes
2896,1607899410113:d97f1bad-380d-43ea-9673-8f88d0da00af,1607899410113:3aa023f1-042d-415e-8c3f-3fe2024a4e6c,"size == ""101""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""False""","pop == ""False""","clear == ""True""","size_p == ""101""","isEmpty_p == ""True""","peek_obj_type_p == ""class java.lang.String""","push_p == ""True""","pop_p == ""False""","clear_p == ""False""",Yes
2897,1607899410113:d97f1bad-380d-43ea-9673-8f88d0da00af,1607899410113:3aa023f1-042d-415e-8c3f-3fe2024a4e6c,"size == ""101""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""False""","pop == ""False""","clear == ""True""","size_p == ""101""","isEmpty_p == ""True""","peek_obj_type_p == ""class java.lang.String""","push_p == ""False""","pop_p == ""False""","clear_p == ""True""",Yes
2898,1607899410113:d97f1bad-380d-43ea-9673-8f88d0da00af,1607899410113:3aa023f1-042d-415e-8c3f-3fe2024a4e6c,"size == ""101""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""False""","pop == ""False""","clear == ""True""","size_p == ""101""","isEmpty_p == ""True""","peek_obj_type_p == ""class java.lang.String""","push_p == ""False""","pop_p == ""False""","clear_p == ""True""",Yes
2900,1607899410113:90bc38ff-2dfd-481b-9308-f4c8c08bb7c3,1607899410113:29169dc4-85a6-420d-bf50-aeef6a35c8d2,"size == ""101""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""False""","pop_p == ""False""","clear_p == ""False""",Yes
