,size,isEmpty,peek_obj_type,push,pop,clear,size_p,isEmpty_p,peek_obj_type_p,push_p,pop_p,clear_p,calledMethod,diff,testId,instanceId
20,"size == ""104""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Float""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""103""","isEmpty_p == ""False""","peek_obj_type_p == ""class experiment.drivers.AlejaStackTestDriver""","push_p == ""False""","pop_p == ""True""","clear_p == ""False""","calledMethod == ""push""",Yes,1607893687722:f7c777c3-8f7d-4a24-9b75-3d52cc2ea9e4,1607893687722:734b3550-0e8a-4490-8dfd-3a08d3cf7310
21,"size == ""104""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Float""","push == ""False""","pop == ""True""","clear == ""False""","size_p == ""104""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Float""","push_p == ""True""","pop_p == ""False""","clear_p == ""False""","calledMethod == ""pop""",Yes,1607893687722:f7c777c3-8f7d-4a24-9b75-3d52cc2ea9e4,1607893687722:734b3550-0e8a-4490-8dfd-3a08d3cf7310
23,"size == ""101""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""False""","pop_p == ""False""","clear_p == ""True""","calledMethod == ""push""",Yes,1607893687722:f7c777c3-8f7d-4a24-9b75-3d52cc2ea9e4,1607893687722:734b3550-0e8a-4490-8dfd-3a08d3cf7310
28,"size == ""102""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Float""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""101""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Float""","push_p == ""True""","pop_p == ""False""","clear_p == ""False""","calledMethod == ""push""",Yes,1607893687722:f7c777c3-8f7d-4a24-9b75-3d52cc2ea9e4,1607893687722:68fbf89a-83bb-4bb7-9c77-e9c84cd14814
29,"size == ""103""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Class""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""102""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Float""","push_p == ""True""","pop_p == ""False""","clear_p == ""False""","calledMethod == ""push""",Yes,1607893687722:f7c777c3-8f7d-4a24-9b75-3d52cc2ea9e4,1607893687722:68fbf89a-83bb-4bb7-9c77-e9c84cd14814
50,"size == ""103""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""102""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Float""","push_p == ""True""","pop_p == ""False""","clear_p == ""False""","calledMethod == ""push""",Yes,1607893687721:76a7bb82-f356-4348-9c4c-b64bf41a0c1e,1607893687721:4e42febd-07e2-42e4-a536-16e1ae482b58
54,"size == ""102""","isEmpty == ""False""","peek_obj_type == ""class java.lang.String""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""101""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Float""","push_p == ""False""","pop_p == ""True""","clear_p == ""False""","calledMethod == ""push""",Yes,1607893687721:76a7bb82-f356-4348-9c4c-b64bf41a0c1e,1607893687721:3c1c0296-ba11-4fbb-8df6-090e9bb4d236
55,"size == ""102""","isEmpty == ""False""","peek_obj_type == ""class java.lang.String""","push == ""False""","pop == ""True""","clear == ""False""","size_p == ""102""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.String""","push_p == ""True""","pop_p == ""False""","clear_p == ""False""","calledMethod == ""pop""",Yes,1607893687721:76a7bb82-f356-4348-9c4c-b64bf41a0c1e,1607893687721:3c1c0296-ba11-4fbb-8df6-090e9bb4d236
82,"size == ""102""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Byte""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""101""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Float""","push_p == ""False""","pop_p == ""True""","clear_p == ""False""","calledMethod == ""push""",Yes,1607893687721:346dabed-b179-4c82-8f86-d66f9f8cf698,1607893687721:fe48056e-eec9-4786-95e3-31ba4ec7cc64
83,"size == ""103""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Float""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""102""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Byte""","push_p == ""True""","pop_p == ""False""","clear_p == ""False""","calledMethod == ""push""",Yes,1607893687721:346dabed-b179-4c82-8f86-d66f9f8cf698,1607893687721:fe48056e-eec9-4786-95e3-31ba4ec7cc64
