,testId,instanceId,size,isEmpty,peek_obj_type,push,pop,clear,diff
447,1607938096700:f6cc3b13-4ede-4756-9c91-828bf1c5c132,1607938096700:79ee06ea-c447-4490-b1d3-b53f8ae5176a,0,True,EmptyObject,none,none,clear,No
453,1607938096700:b5b3e395-30d9-410e-bbc1-d347b19e2d4b,1607938096700:e7a66a33-43ba-4676-972f-f891c5e9c35f,0,True,EmptyObject,none,none,clear,No
458,1607938096700:2da0fbdd-b917-4783-93db-ab3dfa1196a0,1607938096700:466a0df2-a399-42f3-9ffe-13c9134134bb,0,True,EmptyObject,none,none,clear,No
460,1607938096700:2953b50a-c408-44e1-917a-2155b366587a,1607938096700:82db1541-e758-4993-8251-8eb1cb9be37c,0,True,EmptyObject,none,none,clear,No
465,1607938096699:e46f1677-d9de-4d73-af54-24042bc5dd2b,1607938096699:9e0d5fb2-0df4-4a17-aadf-d25e7313223d,0,True,EmptyObject,none,none,clear,No
470,1607938096699:8f84e6a7-789b-4e01-b578-67315be8dd55,1607938096699:3097562e-0802-407e-b78e-070c40e57c9b,0,True,EmptyObject,none,none,clear,No
473,1607938096699:834c6f98-f5bb-4a7c-92ef-abcaf871e45a,1607938096699:1731cf4a-35f4-4594-b118-3b765ec280b4,0,True,EmptyObject,none,none,clear,No
478,1607938096698:98056da8-d296-4cd1-b0e9-d52d0e98e5b1,1607938096698:932df9fc-d0ca-44b9-83b2-0ade311ee8e0,0,True,EmptyObject,none,none,clear,No
483,1607938096698:83fe341e-f6a2-425b-b72a-089617e545ce,1607938096698:89d37866-f47d-4653-98c6-f81cd1afd4cc,0,True,EmptyObject,none,none,clear,No
485,1607938096698:7c7a50fa-9ae5-43ad-9b71-c361f3918535,1607938096698:5ab06b70-6178-419a-a9e3-3695840aff4f,0,True,EmptyObject,none,none,clear,No
493,1607938096697:9033f1a5-5300-46c3-8d7f-4b80756823af,1607938096697:2a075b1e-889c-40fa-b59b-d4f4a9bb318a,0,True,EmptyObject,none,none,clear,No
497,1607938096697:6dfe3770-80d2-49ca-8f47-34f9a89d3052,1607938096697:2701d322-982f-41ef-937a-f5cf59f1d3a5,0,True,EmptyObject,none,none,clear,No
499,1607938096697:61fe2f2e-5d81-4c3a-bb95-3a2c8f86dd7b,1607938096697:84d3430e-6506-43a0-b2af-bf32529da63e,0,True,EmptyObject,none,none,clear,No
505,1607938096697:290e51a7-2dd6-4e42-a2a7-cf95a1b36ea1,1607938096697:a3aecafc-8868-451c-b3da-70a9dd2ed425,0,True,EmptyObject,none,none,clear,No
511,1607938096696:f2c3bfea-32a1-45b4-8b3c-59b0509a486d,1607938096696:80a1df8f-854b-4495-9e04-8ddb866ac9ff,0,True,EmptyObject,none,none,clear,No
519,1607938096696:4ad9d926-551f-4c29-82e2-f0fa44987aab,1607938096696:aa4702b6-237b-4b76-a890-8755229e88ff,0,True,EmptyObject,none,none,clear,No
537,1607938096694:d0e58ffb-dd4e-4dcb-ac00-b88f0b11786e,1607938096694:6e441894-7c25-478d-ae01-07a37b90264a,0,True,EmptyObject,none,none,clear,No
